,url,doc_id,author_name,author_role,description,source,image_link
0,https://drive.google.com/open?id=13W0nyEjCzwxeSa3x_TdOXO_kr2DhXgNBO8SwUox3TYk,,Sahana Venkatesh,Wayve,"Generative AI, a transformative technology, has seen rapid advancements and widespread adoption in recent years. Major tech companies and startups are in a competitive race to develop superior models, while businesses and governments explore its applications and implications

My journey with GenAI began with a Hackathon for Social Good, creating Anxi-Aid, a tool utilizing AI for personalized anxiety management plans. This blogpost highlighted the potential of Generative AI in enhancing lives. To harness this technology, I walk through how one needs to understand use case, master prompt engineering, and leverage existing tools like OpenAI’s API.",https://www.peoplematters.in/site/interstitial?return_to=%2Farticle%2Fbusiness%2Fai-adoption-spikes-as-companies-start-seeing-real-value-from-gen-ai-41550,https://drive.google.com/open?id=1jhbFNw5H-xYGaFpNEtAownKti54Q8JI4
1,https://drive.google.com/open?id=1iMytEs9YfkLhjLmBKX6QZdKN4bcCOMw9,,Adriana Zencke Zimmermann,Tech Lead,Essential Tips for Software Engineer Interview Success,https://unsplash.com/ ,https://drive.google.com/open?id=1AWyfp9fOwpamSeSpe425CdDVCFs7e11T
2,https://drive.google.com/open?id=1kcw5AFt72RY3y09yWHRhIGM6lzwtSCzZNAyA20pFjVk,,Eleonora Belova,Test Automation Engineer,"Going through a job search and preparing for interviews can often feel like navigating a labyrinth of challenges and uncertainties. To shed light on this crucial phase, we reached out to various community members to gather their insights, experiences, and strategies for success. In this article you will find their personal stories, highlighting how they handle rejection, tackle tough technical interviews, and employ unique methods to stand out to potential employers. Additionally, we explore the resources and tools they find valuable in their preparation journey.",https://unsplash.com/photos/woman-in-teal-t-shirt-sitting-beside-woman-in-suit-jacket-JaoVGh5aJ3E,https://drive.google.com/open?id=1VLV2GDrxgAzqNMJR2FWlJ7HvFaNo619Y
3,https://drive.google.com/open?id=195q76fSmTYhnEwukbLUFtlx9tIjA4Qs5,,Madhura Chaganty,Engineering Manager at Paythru,Have you ever considered the environmental impact of the software code we write?,Free image from Canva,https://drive.google.com/open?id=1jBhLx_d5ZeA0_V9xkiaWTIYqlCLp_TFC
4,https://drive.google.com/open?id=1LKIOrIUz_ff8gZpfEaUeks7yhk35WsDy,,Arzu Caner,Full Stack Developer at InnoAl Tech solution,I wrote about my Al DevCamp journey,I created with Canva,https://drive.google.com/open?id=1U0bsYXt7KCIlAhSN7U60VdKwP_ZIZ1zl
5,https://drive.google.com/open?id=1B6pisvehhDNhCWhaINdMqqXVjMLp-Mx5,,Busra Ecem Sakar,Senior Data Analyst,How does Natural Language Processing (NLP) interact between people and technology?,"I used ChatGPT image generator to create pictures, and I added a graph from the research that I mentioned in my blog.",https://drive.google.com/open?id=1T9C_TvShViSLkoLu-BGEowoALAjeRHK2
6,https://drive.google.com/open?id=1SF5gRqBhTzzsXrcSdT8HgVBcUV_-a7d7XR-4cUoFtdI,,Airat Yusuff,Software Engineer / BJSS,"Learn how to use PartyRock by AWS to build your own AI app in minutes, NO coding involved!",I created in Canva,https://drive.google.com/open?id=1Xs2N2kYcpNUhv1CR7AGNI-2cMjk9j2Fi
7,https://drive.google.com/open?id=1hAxMDwpgJv3lsBipWcfG3aiVmIVoQ7mG,,Busra Ecem Sakar,Senior Data Analyst,It is about NLP.,This image were created by AI.,https://drive.google.com/open?id=1o0UEbYzXDQsASTbwM6XJRQN2dmOFKE-Q
8,https://drive.google.com/open?id=1gH4kd2-KeH8fbp2rAefJm0ewZVGlZ79N,,Irina Kamalova,VP Lead Software Engineer,Microservices Paradise,I created them,https://drive.google.com/open?id=18KxFLBFWcrG3peRtiEBOOywQnwF27pMI
9,https://drive.google.com/open?id=1MKNGzDgMBRurakr1bBeldhl78Vy0dXSY,,Irina Kamalova,VP Lead Software Engineer @ JPMorgan Chase,Tailoring your career quarterly,I created them,https://drive.google.com/open?id=1GCQqhqauzTpnHfgGfNIvoryIar8ByN6G
10,https://drive.google.com/open?id=19Y3brnnkXSBv1ba-KeAcHmNx9h2J86MjwoCTg1ip_6c,,Sahana Venkatesh,"Software Engineer, Wayve",Sharing learnings from one of most interesting tech conferences in the world.,I asked my sister and got her consent before sharing.,https://drive.google.com/open?id=1VzTP1zjHy3X4dHbRyU1_mH37d-ol9f9V
11,https://drive.google.com/open?id=1bUclrl46Dvd4gvZEVzCsmddcKA-YvG9K,,Madhura Chaganty,Engineering Manager @Elliptic,"Kubernetes (or K8s) has no shortage of resources and guides, yet diving into its complexities can still feel overwhelming, especially for beginners. As I embark on my own journey of learning Kubernetes, I wanted to tackle one of its core processes—how a Pod, the fundamental unit of deployment in K8s, progresses from a simple YAML definition to a fully Running state in the cluster. This blog is my first attempt at understanding and simplifying this crucial process.",I created the infographics on my own.,https://drive.google.com/open?id=1M8azDXtSDb2JIU5rStLptsB_9GHvHwLE
12,https://drive.google.com/open?id=16-BUIHjT0wtwhxfQeTF8x45Axq02cEkF-WM4GFf240M,,Julia Babahina,Lead Risk Management Specialist at Swift ,Risk management in engineering and beyond ,"Leal, R. (2024) What is ISO3100?, Advisera [Online] https://advisera.com/articles/what-is-iso-31000/ (Accessed June 2024) ",https://drive.google.com/open?id=10Rd-631uVQDEX-3wSG4u_lkIA3XiCEXF3Sf7JKhfzm8
